id,price,address,links
1,"$2,095/mo","6574 Shepherd Oaks St, Lakeland, FL 33811",https://www.zillow.com/homedetails/512-Grasslands-Village-Cir-Lakeland-FL-33803/66198669_zpid/
2,"$2,250/mo","1028 Rivershore Ave, Lakeland, FL 33809",https://www.zillow.com/homedetails/6574-Shepherd-Oaks-St-Lakeland-FL-33811/245277437_zpid/
3,"$2,275/mo","6142 Donegal W, Lakeland, FL 33813",https://www.zillow.com/homedetails/6574-Shepherd-Oaks-St-Lakeland-FL-33811/245277437_zpid/
4,"$2,300+ 4 bds","4549 Breccia Ln, Lakeland, FL",https://www.zillow.com/homedetails/1028-Rivershore-Ave-Lakeland-FL-33809/305393335_zpid/
5,"$1,895/mo","2747 Everleth Dr, Lakeland, FL 33810",https://www.zillow.com/homedetails/1028-Rivershore-Ave-Lakeland-FL-33809/305393335_zpid/
6,$800/mo,"1615 7th St W, Lakeland, FL 33805",https://www.zillow.com/homedetails/6142-Donegal-W-Lakeland-FL-33813/47361510_zpid/
7,"$2,445/mo","5522 Turkey Creek Way, Lakeland, FL 33811",https://www.zillow.com/homedetails/6142-Donegal-W-Lakeland-FL-33813/47361510_zpid/
8,"$2,355/mo","3677 Sandhill Crane Dr, Lakeland, FL 33811","https://www.zillow.com/b/Lakeland-FL/27.980112,-82.01815_ll/"
0,"$2,270/mo","2414 Caspian Dr, Lakeland, FL 33805",https://www.zillow.com/homedetails/2414-Caspian-Dr-Lakeland-FL-33805/316860164_zpid/
1,"$1,750/mo","619 Sandstone St, Lakeland, FL 33809",https://www.zillow.com/homedetails/2414-Caspian-Dr-Lakeland-FL-33805/316860164_zpid/
2,"$1,999/mo","608 Choctaw Ave, Lakeland, FL 33815",https://www.zillow.com/homedetails/619-Sandstone-St-Lakeland-FL-33809/89577543_zpid/
3,"$2,000/mo","4901 Foxwood Lake Dr, Lakeland, FL 33810",https://www.zillow.com/homedetails/619-Sandstone-St-Lakeland-FL-33809/89577543_zpid/
4,"$1,200/mo","6122 Woodale Dr, Lakeland, FL 33811",https://www.zillow.com/homedetails/608-Choctaw-Ave-Lakeland-FL-33815/47382587_zpid/
5,$950/mo,"(undisclosed Address), Lakeland, FL 33805",https://www.zillow.com/homedetails/608-Choctaw-Ave-Lakeland-FL-33815/47382587_zpid/
6,"$1,000/mo","3023 Drane Field Rd, Lakeland, FL 33811",https://www.zillow.com/homedetails/4901-Foxwood-Lake-Dr-Lakeland-FL-33810/47393423_zpid/
7,"$1,500/mo","1503 Tradewinds Ave, Lakeland, FL 33801",https://www.zillow.com/homedetails/4901-Foxwood-Lake-Dr-Lakeland-FL-33810/47393423_zpid/
8,"$2,195/mo","4161 Sunny Glen Dr, Lakeland, FL 33813",https://www.zillow.com/homedetails/6122-Woodale-Dr-Lakeland-FL-33811/47356792_zpid/
0,"$2,100+ 3 bds","3975 Serenade Ln, Lakeland, FL","https://www.zillow.com/b/Lakeland-FL/28.005707,-82.02901_ll/"
1,"$1,695/mo","2253 Golfview St, Lakeland, FL 33801","https://www.zillow.com/b/Lakeland-FL/28.005707,-82.02901_ll/"
2,"$2,050/mo","3902 White Ibis Rd, Lakeland, FL 33811",https://www.zillow.com/homedetails/2253-Golfview-St-Lakeland-FL-33801/236859313_zpid/
3,"$2,300/mo","2059 Winterset Dr, Lakeland, FL 33813",https://www.zillow.com/homedetails/2253-Golfview-St-Lakeland-FL-33801/236859313_zpid/
4,"$1,950/mo","6019 Crane Dr, Lakeland, FL 33809",https://www.zillow.com/homedetails/3902-White-Ibis-Rd-Lakeland-FL-33811/305394175_zpid/
5,"$3,265/mo","2218 Longleaf Cir, Lakeland, FL 33810",https://www.zillow.com/homedetails/3902-White-Ibis-Rd-Lakeland-FL-33811/305394175_zpid/
6,"$1,400/mo","1036 Vine Ln, Lakeland, FL 33801",https://www.zillow.com/homedetails/2059-Winterset-Dr-Lakeland-FL-33813/68610963_zpid/
7,"$2,200/mo","3566 Marsh Wren St, Lakeland, FL 33811",https://www.zillow.com/homedetails/2059-Winterset-Dr-Lakeland-FL-33813/68610963_zpid/
8,"$2,000/mo","2118 Deerfield Dr, Lakeland, FL 33813",https://www.zillow.com/homedetails/6019-Crane-Dr-Lakeland-FL-33809/47364782_zpid/
