id,price,address,links
0,"$1,574+ 1 bd","Arbor Glen Apartments | 4950 Deep Forest Ct, Lakeland, FL",https://www.zillow.com/b/arbor-glen-apartments-lakeland-fl-5Xhyyb/
1,"$1,506+ 1 bd","Century Ariva | 5190 Ariva Blvd, Lakeland, FL",https://www.zillow.com/b/arbor-glen-apartments-lakeland-fl-5Xhyyb/
2,"$1,530+ 1 bd","Century Avenues | 6720 S Florida Ave S, Lakeland, FL",https://www.zillow.com/b/century-ariva-lakeland-fl-BP8pH7/
3,"$1,481+ Studio","Mirrorton Apartments | 309 Mirrorton Ave, Lakeland, FL",https://www.zillow.com/b/century-ariva-lakeland-fl-BP8pH7/
4,"$1,801+ 1 bd","Town Center At Lakeside Village | 1555 Village Center Dr, Lakeland, FL",https://www.zillow.com/b/century-avenues-lakeland-fl-C2DxKM/
5,"$1,550+ 2 bds","Waters Edge | 3625 New Jersey Rd, Lakeland, FL",https://www.zillow.com/b/century-avenues-lakeland-fl-C2DxKM/
6,"$1,388+ 1 bd","Watermarc | 400 W Beacon Rd, Lakeland, FL",https://www.zillow.com/b/mirrorton-apartments-lakeland-fl-BtCS4w/
7,"$1,394+ 1 bd","The Preserve at Lakeland Hills Apartments | 4920 State Road 33 N, Lakeland, FL",https://www.zillow.com/b/mirrorton-apartments-lakeland-fl-BtCS4w/
8,"$1,325/mo","Topaz Retreat Apartments, 1776 Harden Blvd, Lakeland, FL 33803",https://www.zillow.com/b/town-center-at-lakeside-village-lakeland-fl-5XhyyC/
