id,price,address,links
0,"$1,348+ 1 bd","1900 Centre Pointe Blvd | 1900 Centre Pointe Blvd, Tallahassee, FL",https://www.zillow.com/b/1900-centre-pointe-blvd-tallahassee-fl-5XhyyT/
1,$537+ 3 bds,"Acasa Bainbridge | 1600 Old Bainbridge Rd, Tallahassee, FL",https://www.zillow.com/b/1900-centre-pointe-blvd-tallahassee-fl-5XhyyT/
2,"$1,140+ 1 bd","Blairstone at Governor's Square | 501 Blairstone Rd, Tallahassee, FL",https://www.zillow.com/b/acasa-bainbridge-tallahassee-fl-5XhyxH/
3,"$1,283+ 1 bd","Apalachee Point | 1405 Southwood Plantation Rd, Tallahassee, FL",https://www.zillow.com/b/acasa-bainbridge-tallahassee-fl-5XhyxH/
4,$800+/mo,"Acasa Ocala, 1303 Ocala Rd, Tallahassee, FL 32304",https://www.zillow.com/b/blairstone-at-governor%27s-square-tallahassee-fl-5Xhyv3/
5,"$1,418+ 1 bd","Verandas at Southwood | 3700 Capital Cir SE, Tallahassee, FL",https://www.zillow.com/b/blairstone-at-governor%27s-square-tallahassee-fl-5Xhyv3/
6,"$1,219+ 2 bds","Acasa High Road | 1327 High Rd, Tallahassee, FL",https://www.zillow.com/b/apalachee-point-tallahassee-fl-9Cf77L/
7,"$1,200+ 2 bds","Castle Apartments | 2902 Battle Mountain Way, Tallahassee, FL",https://www.zillow.com/b/apalachee-point-tallahassee-fl-9Cf77L/
8,"$1,245+ 2 bds","The Riley | 1111 High Rd, Tallahassee, FL",https://www.zillow.com/b/acasa-ocala-tallahassee-fl-5XhywF/
0,"$1,500/mo","368 Hayden Rd, Tallahassee, FL 32304",https://www.zillow.com/homedetails/368-Hayden-Rd-Tallahassee-FL-32304/45612992_zpid/
1,"$2,000/mo","3210 Hastie Rd, Tallahassee, FL 32305",https://www.zillow.com/homedetails/368-Hayden-Rd-Tallahassee-FL-32304/45612992_zpid/
2,$575/mo,"1846 Belle Vue Way, 1846 Belle Vue Way UNIT 2-A, Tallahassee, FL 32304",https://www.zillow.com/homedetails/3210-Hastie-Rd-Tallahassee-FL-32305/45630158_zpid/
3,"$1,050/mo","305 Bradford Rd, Tallahassee, FL 32303",https://www.zillow.com/homedetails/3210-Hastie-Rd-Tallahassee-FL-32305/45630158_zpid/
4,"$1,750/mo","2516 McArthur St, Tallahassee, FL 32310",https://www.zillow.com/b/1846-belle-vue-way-tallahassee-fl-BJ3LS7/
5,"$1,475/mo","(undisclosed Address), Tallahassee, FL 32303",https://www.zillow.com/b/1846-belle-vue-way-tallahassee-fl-BJ3LS7/
6,"$1,850/mo","2306 Pontiac Dr, Tallahassee, FL 32301",https://www.zillow.com/homedetails/305-Bradford-Rd-Tallahassee-FL-32303/69849739_zpid/
7,"$1,750/mo","611 N Gadsden St, Tallahassee, FL 32301",https://www.zillow.com/homedetails/305-Bradford-Rd-Tallahassee-FL-32303/69849739_zpid/
8,"$1,750/mo","7327 Hollis St, Tallahassee, FL 32312",https://www.zillow.com/homedetails/2516-McArthur-St-Tallahassee-FL-32310/45627647_zpid/
0,"$1,150/mo","578 Miccosukee Rd, Tallahassee, FL 32308",https://www.zillow.com/homedetails/578-Miccosukee-Rd-Tallahassee-FL-32308/2109494163_zpid/
1,"$3,200/mo","200 Cottage Ct, Tallahassee, FL 32308",https://www.zillow.com/homedetails/578-Miccosukee-Rd-Tallahassee-FL-32308/2109494163_zpid/
2,$900/mo,"3234 Nekoma Ln, Tallahassee, FL 32304",https://www.zillow.com/homedetails/200-Cottage-Ct-Tallahassee-FL-32308/103452884_zpid/
3,"$4,350/mo","6 bed, 6.5 bath, 2655 sqft, $4,350, 1724 Bellevue Way, Tallahassee, FL 32304",https://www.zillow.com/homedetails/200-Cottage-Ct-Tallahassee-FL-32308/103452884_zpid/
4,"$2,500/mo","2014 Golf Terrace Dr, Tallahassee, FL 32301",https://www.zillow.com/homedetails/3234-Nekoma-Ln-Tallahassee-FL-32304/45611584_zpid/
5,"$1,750/mo","7116 Towner Trce, Tallahassee, FL 32312",https://www.zillow.com/homedetails/3234-Nekoma-Ln-Tallahassee-FL-32304/45611584_zpid/
6,"$1,400/mo","1901 Dahlia Dr, Tallahassee, FL 32304",https://www.zillow.com/homedetails/1724-Bellevue-Way-Tallahassee-FL-32304/2090994615_zpid/
7,$900/mo,"1848 W Tharpe St APT C, Tallahassee, FL 32303",https://www.zillow.com/homedetails/1724-Bellevue-Way-Tallahassee-FL-32304/2090994615_zpid/
8,"$1,300/mo","2435 Ramblewood Ct, Tallahassee, FL 32303",https://www.zillow.com/homedetails/2014-Golf-Terrace-Dr-Tallahassee-FL-32301/45619412_zpid/
